Number of total jobs: 3732
Job created at 6, Arrival Time: 6, Processing Time: 3, Priority: 0
Job created at 160, Arrival Time: 160, Processing Time: 6, Priority: 0
Job created at 161, Arrival Time: 161, Processing Time: 3, Priority: 0
Job created at 164, Arrival Time: 164, Processing Time: 2, Priority: 0
Job created at 170, Arrival Time: 170, Processing Time: 3, Priority: 0
Job created at 171, Arrival Time: 171, Processing Time: 6, Priority: 0
Job created at 175, Arrival Time: 175, Processing Time: 4, Priority: 0
Job created at 176, Arrival Time: 176, Processing Time: 8, Priority: 1
Job created at 176, Arrival Time: 176, Processing Time: 13, Priority: 0
Job created at 180, Arrival Time: 180, Processing Time: 7, Priority: 0
Job created at 181, Arrival Time: 181, Processing Time: 1, Priority: 0
Job created at 186, Arrival Time: 186, Processing Time: 5, Priority: 0
Job created at 190, Arrival Time: 190, Processing Time: 9, Priority: 0
Job created at 190, Arrival Time: 190, Processing Time: 1, Priority: 0
Job created at 194, Arrival Time: 194, Processing Time: 2, Priority: 0
Job created at 199, Arrival Time: 199, Processing Time: 4, Priority: 0
Job created at 200, Arrival Time: 200, Processing Time: 8, Priority: 0
Job created at 200, Arrival Time: 200, Processing Time: 13, Priority: 0
Job created at 204, Arrival Time: 204, Processing Time: 4, Priority: 0
Job created at 207, Arrival Time: 207, Processing Time: 10, Priority: 1
Job created at 209, Arrival Time: 209, Processing Time: 5, Priority: 0
Job created at 210, Arrival Time: 210, Processing Time: 7, Priority: 0
Job created at 214, Arrival Time: 214, Processing Time: 1, Priority: 0
Job created at 220, Arrival Time: 220, Processing Time: 2, Priority: 0
Job created at 221, Arrival Time: 221, Processing Time: 7, Priority: 0
Job created at 226, Arrival Time: 226, Processing Time: 11, Priority: 0
Job created at 226, Arrival Time: 226, Processing Time: 4, Priority: 0
Job created at 229, Arrival Time: 229, Processing Time: 5, Priority: 0
Job created at 230, Arrival Time: 230, Processing Time: 10, Priority: 0
Job created at 236, Arrival Time: 236, Processing Time: 4, Priority: 0
Job created at 239, Arrival Time: 239, Processing Time: 7, Priority: 0
Job created at 239, Arrival Time: 239, Processing Time: 8, Priority: 1
Job created at 241, Arrival Time: 241, Processing Time: 4, Priority: 0
Job created at 246, Arrival Time: 246, Processing Time: 3, Priority: 0
Job created at 249, Arrival Time: 249, Processing Time: 2, Priority: 0
Job created at 250, Arrival Time: 250, Processing Time: 13, Priority: 0
Job created at 251, Arrival Time: 251, Processing Time: 9, Priority: 0
Job created at 254, Arrival Time: 254, Processing Time: 1, Priority: 0
Job created at 260, Arrival Time: 260, Processing Time: 6, Priority: 0
Job created at 260, Arrival Time: 260, Processing Time: 4, Priority: 0
Job created at 264, Arrival Time: 264, Processing Time: 1, Priority: 0
Job created at 269, Arrival Time: 269, Processing Time: 2, Priority: 0
Job created at 269, Arrival Time: 269, Processing Time: 11, Priority: 1
Job created at 271, Arrival Time: 271, Processing Time: 8, Priority: 0
Job created at 274, Arrival Time: 274, Processing Time: 14, Priority: 0
Job created at 276, Arrival Time: 276, Processing Time: 2, Priority: 0
Job created at 280, Arrival Time: 280, Processing Time: 10, Priority: 0
Job created at 281, Arrival Time: 281, Processing Time: 1, Priority: 0
Job created at 286, Arrival Time: 286, Processing Time: 3, Priority: 0
Job created at 289, Arrival Time: 289, Processing Time: 5, Priority: 0
Job created at 290, Arrival Time: 290, Processing Time: 6, Priority: 0
Job created at 296, Arrival Time: 296, Processing Time: 4, Priority: 0
Job created at 299, Arrival Time: 299, Processing Time: 3, Priority: 0
Job created at 299, Arrival Time: 299, Processing Time: 11, Priority: 0
Job created at 300, Arrival Time: 300, Processing Time: 6, Priority: 0
Job created at 303, Arrival Time: 303, Processing Time: 9, Priority: 1
Job created at 305, Arrival Time: 305, Processing Time: 1, Priority: 0
Job created at 310, Arrival Time: 310, Processing Time: 6, Priority: 0
Job created at 311, Arrival Time: 311, Processing Time: 2, Priority: 0
Job created at 316, Arrival Time: 316, Processing Time: 3, Priority: 0
Job created at 319, Arrival Time: 319, Processing Time: 6, Priority: 0
Job created at 319, Arrival Time: 319, Processing Time: 5, Priority: 0
Job created at 326, Arrival Time: 326, Processing Time: 12, Priority: 0
Job created at 326, Arrival Time: 326, Processing Time: 3, Priority: 0
Job created at 329, Arrival Time: 329, Processing Time: 8, Priority: 0
Job created at 331, Arrival Time: 331, Processing Time: 1, Priority: 0
Job created at 334, Arrival Time: 334, Processing Time: 10, Priority: 1
Job created at 334, Arrival Time: 334, Processing Time: 5, Priority: 0
Job created at 340, Arrival Time: 340, Processing Time: 10, Priority: 0
Job created at 340, Arrival Time: 340, Processing Time: 1, Priority: 0
Job created at 344, Arrival Time: 344, Processing Time: 2, Priority: 0
Job created at 349, Arrival Time: 349, Processing Time: 14, Priority: 0
Job created at 350, Arrival Time: 350, Processing Time: 3, Priority: 0
Job created at 351, Arrival Time: 351, Processing Time: 6, Priority: 0
Job created at 355, Arrival Time: 355, Processing Time: 3, Priority: 0
Job created at 357, Arrival Time: 357, Processing Time: 10, Priority: 1
Job created at 359, Arrival Time: 359, Processing Time: 6, Priority: 0
Job created at 359, Arrival Time: 359, Processing Time: 4, Priority: 0
Job created at 366, Arrival Time: 366, Processing Time: 5, Priority: 0
Job created at 369, Arrival Time: 369, Processing Time: 7, Priority: 0
Job created at 370, Arrival Time: 370, Processing Time: 4, Priority: 0
Job created at 376, Arrival Time: 376, Processing Time: 12, Priority: 0
Job created at 376, Arrival Time: 376, Processing Time: 4, Priority: 0
Job created at 379, Arrival Time: 379, Processing Time: 7, Priority: 0
Job created at 381, Arrival Time: 381, Processing Time: 2, Priority: 0
Job created at 386, Arrival Time: 386, Processing Time: 1, Priority: 0
Job created at 389, Arrival Time: 389, Processing Time: 12, Priority: 1
Job created at 389, Arrival Time: 389, Processing Time: 4, Priority: 0
Job created at 390, Arrival Time: 390, Processing Time: 7, Priority: 0
Job created at 394, Arrival Time: 394, Processing Time: 2, Priority: 0
Job created at 399, Arrival Time: 399, Processing Time: 1, Priority: 0
Job created at 400, Arrival Time: 400, Processing Time: 12, Priority: 0
Job created at 401, Arrival Time: 401, Processing Time: 6, Priority: 0
Job created at 405, Arrival Time: 405, Processing Time: 5, Priority: 0
Job created at 409, Arrival Time: 409, Processing Time: 6, Priority: 0
Job created at 409, Arrival Time: 409, Processing Time: 3, Priority: 0
Job created at 416, Arrival Time: 416, Processing Time: 4, Priority: 0
Job created at 419, Arrival Time: 419, Processing Time: 9, Priority: 0
Job created at 420, Arrival Time: 420, Processing Time: 2, Priority: 0
Job created at 421, Arrival Time: 421, Processing Time: 11, Priority: 1
Job created at 424, Arrival Time: 424, Processing Time: 15, Priority: 0
Job created at 426, Arrival Time: 426, Processing Time: 1, Priority: 0
Job created at 430, Arrival Time: 430, Processing Time: 10, Priority: 0
Job created at 430, Arrival Time: 430, Processing Time: 2, Priority: 0
Job created at 436, Arrival Time: 436, Processing Time: 1, Priority: 0
Job created at 439, Arrival Time: 439, Processing Time: 2, Priority: 0
Job created at 440, Arrival Time: 440, Processing Time: 7, Priority: 0
Job created at 444, Arrival Time: 444, Processing Time: 5, Priority: 0
Job created at 447, Arrival Time: 447, Processing Time: 8, Priority: 1
Job created at 449, Arrival Time: 449, Processing Time: 5, Priority: 0
Job created at 450, Arrival Time: 450, Processing Time: 13, Priority: 0
Job created at 451, Arrival Time: 451, Processing Time: 8, Priority: 0
Job created at 455, Arrival Time: 455, Processing Time: 5, Priority: 0
Job created at 459, Arrival Time: 459, Processing Time: 10, Priority: 0
Job created at 461, Arrival Time: 461, Processing Time: 5, Priority: 0
Job created at 464, Arrival Time: 464, Processing Time: 4, Priority: 0
Job created at 469, Arrival Time: 469, Processing Time: 7, Priority: 0
Job created at 469, Arrival Time: 469, Processing Time: 4, Priority: 0
Job created at 474, Arrival Time: 474, Processing Time: 14, Priority: 0
Job created at 475, Arrival Time: 475, Processing Time: 3, Priority: 0
Job created at 477, Arrival Time: 477, Processing Time: 12, Priority: 1
Job created at 480, Arrival Time: 480, Processing Time: 8, Priority: 0
Job created at 481, Arrival Time: 481, Processing Time: 4, Priority: 0
Job created at 484, Arrival Time: 484, Processing Time: 4, Priority: 0
Job created at 489, Arrival Time: 489, Processing Time: 8, Priority: 0
Job created at 491, Arrival Time: 491, Processing Time: 2, Priority: 0
Job created at 494, Arrival Time: 494, Processing Time: 3, Priority: 0
Job created at 500, Arrival Time: 500, Processing Time: 5, Priority: 0
Job created at 500, Arrival Time: 500, Processing Time: 10, Priority: 0
Job created at 501, Arrival Time: 501, Processing Time: 15, Priority: 0
Job created at 506, Arrival Time: 506, Processing Time: 8, Priority: 1
Job created at 506, Arrival Time: 506, Processing Time: 2, Priority: 0
Job created at 510, Arrival Time: 510, Processing Time: 6, Priority: 0
Job created at 511, Arrival Time: 511, Processing Time: 2, Priority: 0
Job created at 516, Arrival Time: 516, Processing Time: 5, Priority: 0
Job created at 520, Arrival Time: 520, Processing Time: 2, Priority: 0
Job created at 521, Arrival Time: 521, Processing Time: 10, Priority: 0
Job created at 524, Arrival Time: 524, Processing Time: 11, Priority: 0
Job created at 525, Arrival Time: 525, Processing Time: 4, Priority: 0
Job created at 530, Arrival Time: 530, Processing Time: 6, Priority: 0
Job created at 531, Arrival Time: 531, Processing Time: 4, Priority: 0
Job created at 534, Arrival Time: 534, Processing Time: 5, Priority: 0
Job created at 539, Arrival Time: 539, Processing Time: 9, Priority: 1
Job created at 540, Arrival Time: 540, Processing Time: 3, Priority: 0
Job created at 540, Arrival Time: 540, Processing Time: 6, Priority: 0
Job created at 544, Arrival Time: 544, Processing Time: 1, Priority: 0
Job created at 549, Arrival Time: 549, Processing Time: 4, Priority: 0
Job created at 549, Arrival Time: 549, Processing Time: 15, Priority: 0
Job created at 551, Arrival Time: 551, Processing Time: 10, Priority: 0
Job created at 555, Arrival Time: 555, Processing Time: 3, Priority: 0
Job created at 560, Arrival Time: 560, Processing Time: 4, Priority: 0
Job created at 561, Arrival Time: 561, Processing Time: 9, Priority: 0
Job created at 566, Arrival Time: 566, Processing Time: 1, Priority: 0
Job created at 566, Arrival Time: 566, Processing Time: 10, Priority: 1
Job created at 569, Arrival Time: 569, Processing Time: 4, Priority: 0
Job created at 570, Arrival Time: 570, Processing Time: 10, Priority: 0
Job created at 574, Arrival Time: 574, Processing Time: 2, Priority: 0
Job created at 575, Arrival Time: 575, Processing Time: 11, Priority: 0
Job created at 581, Arrival Time: 581, Processing Time: 2, Priority: 0
Job created at 581, Arrival Time: 581, Processing Time: 10, Priority: 0
Job created at 586, Arrival Time: 586, Processing Time: 4, Priority: 0
Job created at 589, Arrival Time: 589, Processing Time: 8, Priority: 0
Job created at 590, Arrival Time: 590, Processing Time: 3, Priority: 0
Job created at 594, Arrival Time: 594, Processing Time: 3, Priority: 0
Job created at 599, Arrival Time: 599, Processing Time: 12, Priority: 0
Job created at 599, Arrival Time: 599, Processing Time: 7, Priority: 0
Job created at 600, Arrival Time: 600, Processing Time: 3, Priority: 0
Job created at 602, Arrival Time: 602, Processing Time: 12, Priority: 1
Job created at 606, Arrival Time: 606, Processing Time: 5, Priority: 0
Job created at 610, Arrival Time: 610, Processing Time: 3, Priority: 0
Job created at 611, Arrival Time: 611, Processing Time: 6, Priority: 0
Job created at 616, Arrival Time: 616, Processing Time: 2, Priority: 0
Job created at 619, Arrival Time: 619, Processing Time: 4, Priority: 0
Job created at 619, Arrival Time: 619, Processing Time: 10, Priority: 0
Job created at 625, Arrival Time: 625, Processing Time: 2, Priority: 0
Job created at 625, Arrival Time: 625, Processing Time: 12, Priority: 0
Job created at 630, Arrival Time: 630, Processing Time: 10, Priority: 0
Job created at 631, Arrival Time: 631, Processing Time: 5, Priority: 0
Job created at 634, Arrival Time: 634, Processing Time: 12, Priority: 1
Job created at 636, Arrival Time: 636, Processing Time: 1, Priority: 0
Job created at 639, Arrival Time: 639, Processing Time: 2, Priority: 0
Job created at 640, Arrival Time: 640, Processing Time: 9, Priority: 0
Job created at 645, Arrival Time: 645, Processing Time: 2, Priority: 0
Job created at 649, Arrival Time: 649, Processing Time: 6, Priority: 0
Job created at 651, Arrival Time: 651, Processing Time: 14, Priority: 0
Job created at 651, Arrival Time: 651, Processing Time: 4, Priority: 0
Job created at 655, Arrival Time: 655, Processing Time: 3, Priority: 0
Job created at 658, Arrival Time: 658, Processing Time: 12, Priority: 1
Job created at 659, Arrival Time: 659, Processing Time: 2, Priority: 0
Job created at 659, Arrival Time: 659, Processing Time: 10, Priority: 0
Job created at 666, Arrival Time: 666, Processing Time: 4, Priority: 0
Job created at 670, Arrival Time: 670, Processing Time: 9, Priority: 0
Job created at 671, Arrival Time: 671, Processing Time: 2, Priority: 0
Job created at 675, Arrival Time: 675, Processing Time: 15, Priority: 0
Job created at 675, Arrival Time: 675, Processing Time: 5, Priority: 0
Job created at 679, Arrival Time: 679, Processing Time: 8, Priority: 0
Job created at 681, Arrival Time: 681, Processing Time: 2, Priority: 0
Job created at 685, Arrival Time: 685, Processing Time: 5, Priority: 0
Job created at 689, Arrival Time: 689, Processing Time: 10, Priority: 0
Job created at 691, Arrival Time: 691, Processing Time: 3, Priority: 0
Job created at 694, Arrival Time: 694, Processing Time: 10, Priority: 1
Job created at 696, Arrival Time: 696, Processing Time: 1, Priority: 0
Job created at 699, Arrival Time: 699, Processing Time: 5, Priority: 0
Job created at 700, Arrival Time: 700, Processing Time: 14, Priority: 0
Job created at 700, Arrival Time: 700, Processing Time: 8, Priority: 0
Job created at 706, Arrival Time: 706, Processing Time: 4, Priority: 0
Job created at 709, Arrival Time: 709, Processing Time: 5, Priority: 0
Job created at 710, Arrival Time: 710, Processing Time: 6, Priority: 0
Job created at 714, Arrival Time: 714, Processing Time: 4, Priority: 0
Job created at 719, Arrival Time: 719, Processing Time: 9, Priority: 0
Job created at 720, Arrival Time: 720, Processing Time: 1, Priority: 0
Job created at 724, Arrival Time: 724, Processing Time: 12, Priority: 1
Job created at 724, Arrival Time: 724, Processing Time: 13, Priority: 0
Job created at 726, Arrival Time: 726, Processing Time: 1, Priority: 0
Job created at 729, Arrival Time: 729, Processing Time: 8, Priority: 0
Job created at 730, Arrival Time: 730, Processing Time: 2, Priority: 0
Job created at 734, Arrival Time: 734, Processing Time: 3, Priority: 0
Job created at 740, Arrival Time: 740, Processing Time: 3, Priority: 0
Job created at 740, Arrival Time: 740, Processing Time: 7, Priority: 0
Job created at 746, Arrival Time: 746, Processing Time: 8, Priority: 1
Job created at 746, Arrival Time: 746, Processing Time: 5, Priority: 0
Job created at 749, Arrival Time: 749, Processing Time: 15, Priority: 0
Job created at 750, Arrival Time: 750, Processing Time: 9, Priority: 0
Job created at 751, Arrival Time: 751, Processing Time: 5, Priority: 0
Job created at 756, Arrival Time: 756, Processing Time: 5, Priority: 0
Job created at 760, Arrival Time: 760, Processing Time: 3, Priority: 0
Job created at 760, Arrival Time: 760, Processing Time: 6, Priority: 0
Job created at 766, Arrival Time: 766, Processing Time: 1, Priority: 0
Job created at 770, Arrival Time: 770, Processing Time: 10, Priority: 0
Job created at 771, Arrival Time: 771, Processing Time: 5, Priority: 0
Job created at 775, Arrival Time: 775, Processing Time: 3, Priority: 0
Job created at 776, Arrival Time: 776, Processing Time: 12, Priority: 0
Job created at 779, Arrival Time: 779, Processing Time: 9, Priority: 1
Job created at 780, Arrival Time: 780, Processing Time: 1, Priority: 0
Job created at 781, Arrival Time: 781, Processing Time: 9, Priority: 0
Job created at 785, Arrival Time: 785, Processing Time: 4, Priority: 0
Job created at 789, Arrival Time: 789, Processing Time: 10, Priority: 0
Job created at 791, Arrival Time: 791, Processing Time: 4, Priority: 0
Job created at 795, Arrival Time: 795, Processing Time: 2, Priority: 0
Job created at 799, Arrival Time: 799, Processing Time: 11, Priority: 0
Job created at 800, Arrival Time: 800, Processing Time: 5, Priority: 0
Job created at 801, Arrival Time: 801, Processing Time: 7, Priority: 0
Job created at 805, Arrival Time: 805, Processing Time: 3, Priority: 0
Job created at 809, Arrival Time: 809, Processing Time: 5, Priority: 0
Job created at 810, Arrival Time: 810, Processing Time: 12, Priority: 1
Job created at 810, Arrival Time: 810, Processing Time: 6, Priority: 0
Job created at 815, Arrival Time: 815, Processing Time: 1, Priority: 0
Job created at 819, Arrival Time: 819, Processing Time: 2, Priority: 0
Job created at 821, Arrival Time: 821, Processing Time: 7, Priority: 0
Job created at 825, Arrival Time: 825, Processing Time: 11, Priority: 0
Job created at 826, Arrival Time: 826, Processing Time: 1, Priority: 0
Job created at 831, Arrival Time: 831, Processing Time: 3, Priority: 0
Job created at 831, Arrival Time: 831, Processing Time: 6, Priority: 0
Job created at 836, Arrival Time: 836, Processing Time: 5, Priority: 0
Job created at 839, Arrival Time: 839, Processing Time: 2, Priority: 0
Job created at 840, Arrival Time: 840, Processing Time: 8, Priority: 1
Job created at 841, Arrival Time: 841, Processing Time: 10, Priority: 0
Job created at 846, Arrival Time: 846, Processing Time: 2, Priority: 0
Job created at 850, Arrival Time: 850, Processing Time: 8, Priority: 0
Job created at 851, Arrival Time: 851, Processing Time: 14, Priority: 0
Job created at 851, Arrival Time: 851, Processing Time: 4, Priority: 0
Job created at 856, Arrival Time: 856, Processing Time: 1, Priority: 0
Job created at 859, Arrival Time: 859, Processing Time: 4, Priority: 0
Job created at 861, Arrival Time: 861, Processing Time: 9, Priority: 0
Job created at 864, Arrival Time: 864, Processing Time: 4, Priority: 0
Job created at 865, Arrival Time: 865, Processing Time: 9, Priority: 1
Job created at 870, Arrival Time: 870, Processing Time: 8, Priority: 0
Job created at 871, Arrival Time: 871, Processing Time: 1, Priority: 0
Job created at 874, Arrival Time: 874, Processing Time: 13, Priority: 0
Job created at 876, Arrival Time: 876, Processing Time: 2, Priority: 0
Job created at 880, Arrival Time: 880, Processing Time: 4, Priority: 0
Job created at 880, Arrival Time: 880, Processing Time: 9, Priority: 0
Job created at 884, Arrival Time: 884, Processing Time: 3, Priority: 0
Job created at 890, Arrival Time: 890, Processing Time: 5, Priority: 0
Job created at 891, Arrival Time: 891, Processing Time: 7, Priority: 0
Job created at 894, Arrival Time: 894, Processing Time: 3, Priority: 0
Job created at 896, Arrival Time: 896, Processing Time: 9, Priority: 1
Job created at 900, Arrival Time: 900, Processing Time: 14, Priority: 0
Job created at 900, Arrival Time: 900, Processing Time: 2, Priority: 0
Job created at 900, Arrival Time: 900, Processing Time: 10, Priority: 0
Job created at 904, Arrival Time: 904, Processing Time: 1, Priority: 0
Job created at 910, Arrival Time: 910, Processing Time: 2, Priority: 0
Job created at 911, Arrival Time: 911, Processing Time: 6, Priority: 0
Job created at 916, Arrival Time: 916, Processing Time: 5, Priority: 0
Job created at 919, Arrival Time: 919, Processing Time: 5, Priority: 0
Job created at 921, Arrival Time: 921, Processing Time: 8, Priority: 0
Job created at 924, Arrival Time: 924, Processing Time: 14, Priority: 0
Job created at 924, Arrival Time: 924, Processing Time: 5, Priority: 0
Job created at 929, Arrival Time: 929, Processing Time: 1, Priority: 0
Job created at 929, Arrival Time: 929, Processing Time: 8, Priority: 0
Job created at 930, Arrival Time: 930, Processing Time: 11, Priority: 1
Job created at 936, Arrival Time: 936, Processing Time: 5, Priority: 0
Job created at 940, Arrival Time: 940, Processing Time: 4, Priority: 0
Job created at 940, Arrival Time: 940, Processing Time: 9, Priority: 0
Job created at 945, Arrival Time: 945, Processing Time: 3, Priority: 0
Job created at 949, Arrival Time: 949, Processing Time: 14, Priority: 0
Job created at 950, Arrival Time: 950, Processing Time: 9, Priority: 0
Job created at 951, Arrival Time: 951, Processing Time: 4, Priority: 0
Job created at 955, Arrival Time: 955, Processing Time: 1, Priority: 0
Job created at 959, Arrival Time: 959, Processing Time: 2, Priority: 0
Job created at 960, Arrival Time: 960, Processing Time: 6, Priority: 0
Job created at 963, Arrival Time: 963, Processing Time: 10, Priority: 1
Job created at 966, Arrival Time: 966, Processing Time: 1, Priority: 0
Job created at 971, Arrival Time: 971, Processing Time: 5, Priority: 0
Job created at 971, Arrival Time: 971, Processing Time: 8, Priority: 0
Job created at 976, Arrival Time: 976, Processing Time: 5, Priority: 0
Job created at 976, Arrival Time: 976, Processing Time: 13, Priority: 0
Job created at 979, Arrival Time: 979, Processing Time: 5, Priority: 0
Job created at 980, Arrival Time: 980, Processing Time: 10, Priority: 0
Job created at 984, Arrival Time: 984, Processing Time: 5, Priority: 0
Job created at 986, Arrival Time: 986, Processing Time: 12, Priority: 1
Job created at 989, Arrival Time: 989, Processing Time: 10, Priority: 0
Job created at 990, Arrival Time: 990, Processing Time: 1, Priority: 0
Job created at 996, Arrival Time: 996, Processing Time: 3, Priority: 0
Job created at 999, Arrival Time: 999, Processing Time: 3, Priority: 0
Job created at 999, Arrival Time: 999, Processing Time: 11, Priority: 0
Job created at 1001, Arrival Time: 1001, Processing Time: 8, Priority: 0
Job created at 1005, Arrival Time: 1005, Processing Time: 1, Priority: 0
Job created at 1010, Arrival Time: 1010, Processing Time: 6, Priority: 0
Job created at 1011, Arrival Time: 1011, Processing Time: 4, Priority: 0
Job created at 1016, Arrival Time: 1016, Processing Time: 1, Priority: 0
Job created at 1017, Arrival Time: 1017, Processing Time: 12, Priority: 1
Job created at 1019, Arrival Time: 1019, Processing Time: 1, Priority: 0
Job created at 1019, Arrival Time: 1019, Processing Time: 9, Priority: 0
Job created at 1025, Arrival Time: 1025, Processing Time: 15, Priority: 0
Job created at 1026, Arrival Time: 1026, Processing Time: 3, Priority: 0
Job created at 1029, Arrival Time: 1029, Processing Time: 9, Priority: 0
Job created at 1031, Arrival Time: 1031, Processing Time: 5, Priority: 0
Job created at 1036, Arrival Time: 1036, Processing Time: 1, Priority: 0
Job created at 1039, Arrival Time: 1039, Processing Time: 6, Priority: 0
Job created at 1040, Arrival Time: 1040, Processing Time: 5, Priority: 0
Job created at 1045, Arrival Time: 1045, Processing Time: 3, Priority: 0
Job created at 1049, Arrival Time: 1049, Processing Time: 7, Priority: 0
Job created at 1051, Arrival Time: 1051, Processing Time: 8, Priority: 1
Job created at 1051, Arrival Time: 1051, Processing Time: 2, Priority: 0
Job created at 1051, Arrival Time: 1051, Processing Time: 14, Priority: 0
Job created at 1055, Arrival Time: 1055, Processing Time: 3, Priority: 0
Job created at 1059, Arrival Time: 1059, Processing Time: 4, Priority: 0
Job created at 1060, Arrival Time: 1060, Processing Time: 8, Priority: 0
Job created at 1064, Arrival Time: 1064, Processing Time: 2, Priority: 0
Job created at 1070, Arrival Time: 1070, Processing Time: 9, Priority: 0
Job created at 1071, Arrival Time: 1071, Processing Time: 3, Priority: 0
Job created at 1074, Arrival Time: 1074, Processing Time: 13, Priority: 0
Job created at 1076, Arrival Time: 1076, Processing Time: 2, Priority: 0
Job created at 1080, Arrival Time: 1080, Processing Time: 8, Priority: 0
Job created at 1081, Arrival Time: 1081, Processing Time: 1, Priority: 0
Job created at 1081, Arrival Time: 1081, Processing Time: 8, Priority: 1
Job created at 1086, Arrival Time: 1086, Processing Time: 1, Priority: 0
Job created at 1089, Arrival Time: 1089, Processing Time: 5, Priority: 0
Job created at 1089, Arrival Time: 1089, Processing Time: 7, Priority: 0
Job created at 1096, Arrival Time: 1096, Processing Time: 1, Priority: 0
Job created at 1099, Arrival Time: 1099, Processing Time: 15, Priority: 0
Job created at 1100, Arrival Time: 1100, Processing Time: 4, Priority: 0
Job created at 1101, Arrival Time: 1101, Processing Time: 10, Priority: 0
Job created at 1105, Arrival Time: 1105, Processing Time: 1, Priority: 0
Job created at 1111, Arrival Time: 1111, Processing Time: 3, Priority: 0
Job created at 1111, Arrival Time: 1111, Processing Time: 9, Priority: 1
Job created at 1111, Arrival Time: 1111, Processing Time: 6, Priority: 0
Job created at 1115, Arrival Time: 1115, Processing Time: 1, Priority: 0
Job created at 1121, Arrival Time: 1121, Processing Time: 5, Priority: 0
Job created at 1121, Arrival Time: 1121, Processing Time: 6, Priority: 0
Job created at 1125, Arrival Time: 1125, Processing Time: 5, Priority: 0
Job created at 1126, Arrival Time: 1126, Processing Time: 11, Priority: 0
